"Iteracao","Departamento","Semana1","Semana2","Semana3","Semana4"
1,"WSdep1",70617.3315051981,42869.1377021263,38620.8937690169,47056.4064445364
2,"WSdep1",48893.6497771297,31228.0980751894,36788.0939431579,52905.7587487618
3,"WSdep1",43825.4149192757,37453.971803005,55879.6822872538,54201.6780599058
4,"WSdep1",51329.2964991182,49002.1053537406,52552.7021036835,51271.316339079
5,"WSdep1",51909.4010161961,51451.8546121285,51878.7347986493,50954.2057242866
6,"WSdep1",52403.7134822082,52024.9393893061,51423.8134346206,50665.2110799337
7,"WSdep1",53132.6497769274,52662.5118410863,52012.0285345974,51543.4689665575
8,"WSdep1",53899.6539169234,53377.5121639179,52342.4497384671,51692.2232576345
9,"WSdep1",53217.9888275144,52963.8453392872,52286.0142970635,51680.7270101059
10,"WSdep1",51627.3224888094,46543.0189486214,41631.9481271279,35533.1239699343
1,"WSdep2",133100.252535924,141583.069478606,133475.716008563,134741.837688818
2,"WSdep2",130635.20376231,140893.816714552,131322.434647857,142934.214806507
3,"WSdep2",140458.586820507,139819.765473528,138761.247352495,141691.914703111
4,"WSdep2",142108.456521958,142935.907013181,141450.413457547,143672.128649676
5,"WSdep2",142078.406756097,141739.541501597,141900.703813602,141840.568380108
6,"WSdep2",141631.044478888,141790.190684309,141862.937043004,141760.243248918
7,"WSdep2",142183.528363716,142094.519361074,141959.936972886,141830.937457623
8,"WSdep2",142573.553424564,142750.767038371,142794.548793232,142573.566582337
9,"WSdep2",142109.208273152,142108.714452573,142112.055998818,142433.210704896
10,"WSdep2",141915.537618959,142047.134959976,141994.005783862,140234.315391604
1,"WSdep3",58613.9819719034,60044.4056967741,62272.7872470844,58314.964666606
2,"WSdep3",58676.8890429471,59075.185309053,59432.9958229432,58583.4861145886
3,"WSdep3",55537.2487227546,55066.3005762794,54872.1247075176,54286.9141385714
4,"WSdep3",56607.0920951574,56839.766024676,56675.6198124865,56181.1926234742
5,"WSdep3",57243.9381592086,57175.3581650714,56969.5610786907,56653.0472241793
6,"WSdep3",57444.9782495591,57262.9786119993,57071.2055380706,56913.7922304889
7,"WSdep3",56386.7611268774,56346.2032161603,56308.2049734411,56265.1730843103
8,"WSdep3",56115.979272348,56017.7831711236,56047.2403603504,56062.5529836858
9,"WSdep3",56715.0951699351,56741.2647456086,56803.1996394819,56666.5377117212
10,"WSdep3",56013.0355242136,55862.5538966524,55998.4626841159,56009.1748707586
1,"WSdep4",104424.999578767,110998.417246292,111448.870888439,107084.866297774
2,"WSdep4",104717.785950078,111517.216740308,113845.488286833,109432.687606267
3,"WSdep4",108351.084884513,112411.729868999,113892.907002282,110030.724872814
4,"WSdep4",111755.137203682,114142.343534875,115776.278424104,113176.973280511
5,"WSdep4",115348.153624814,115943.073926232,117220.237008014,115841.90471633
6,"WSdep4",117736.613429974,117199.775494736,118069.904961583,117671.479711117
7,"WSdep4",118593.74906671,117639.778154259,118168.972713004,118351.984738887
8,"WSdep4",118680.210831126,117635.205570832,117909.334249464,118368.430709276
9,"WSdep4",118758.794223712,117949.80554053,118041.110148497,118338.454503653
10,"WSdep4",118387.337373542,117675.882440988,117533.470362099,118369.785463189
