"Iteracao","Departamento","Semana1","Semana2","Semana3","Semana4"
1,"WSdep1",48339.5555322766,48302.2337195378,48271.5483677564,48246.3193998996
2,"WSdep1",48224.9824111455,48207.8871989659,48193.8289792985,48182.268225437
3,"WSdep1",48172.310441131,48164.4200954953,48157.9302683825,48152.5923709192
4,"WSdep1",48147.7087382632,48144.011299992,48140.9696131162,48138.467378225
5,"WSdep1",48135.8571564484,48134.0672015283,48132.5944573822,48131.3827088096
6,"WSdep1",48129.8752859988,48128.9659271366,48128.2176004293,48127.6017897915
7,"WSdep1",48126.4414176599,48125.9108353252,48125.4741493206,48125.1147429588
8,"WSdep1",48124.1074414893,48123.7405053758,48123.4384654329,48123.1898441504
9,"WSdep1",48122.2398040005,48121.9420500168,48121.696927479,48121.4951331729
10,"WSdep1",48120.5387827459,48120.2649830271,48120.0395565467,48119.8539570207
1,"WSdep2",148611.336160546,149004.661227874,141298.025231542,128989.056243321
2,"WSdep2",142647.369064879,147149.272729942,142486.535202819,133440.931916572
3,"WSdep2",139979.527961198,145025.936643643,142899.721927776,136435.548721017
4,"WSdep2",139038.330414042,143266.70690977,142795.770897617,138383.134123532
5,"WSdep2",138941.868928184,142014.826434978,142433.960788771,139587.0098365
6,"WSdep2",139203.189998234,141217.508587692,141997.190996853,140281.477667201
7,"WSdep2",139566.107858295,140762.864337359,141590.162189593,140644.043944302
8,"WSdep2",139908.840703462,140538.910661423,141258.873009574,140803.563465318
9,"WSdep2",140184.051851431,140455.904211947,141013.588460529,140848.345568353
10,"WSdep2",140383.260427073,140449.908740623,140845.764836533,140835.473604994
1,"WSdep3",65014.8529694944,63774.362962507,62521.9745932219,61509.7736782707
2,"WSdep3",63486.9706374099,63330.2450541512,62828.2813114688,62491.9354916062
3,"WSdep3",63116.9833688525,63145.514082042,62963.5295190507,62848.8843887724
4,"WSdep3",62988.7228410123,62999.5576406387,63009.3499695018,63018.200128976
5,"WSdep3",63026.5992555563,63033.9190695593,63040.5360831334,63046.5177745565
6,"WSdep3",63052.3761705407,63057.3655916693,63061.876928709,63065.9559914624
7,"WSdep3",63069.9730710749,63073.3810117987,63076.4629059838,63079.2499473494
8,"WSdep3",63082.2626546425,63084.6499768744,63086.8093040025,63088.7624101162
9,"WSdep3",63091.0401986829,63092.7496434062,63094.2961108324,63095.6951391064
10,"WSdep3",63094.4579117274,63095.059623794,63095.6036947792,63096.0956464174
1,"WSdep4",130750.83778057,131233.655379475,119584.454689142,114944.189316205
2,"WSdep4",125183.221322645,132116.279158695,124315.509195268,115667.676344228
3,"WSdep4",120775.758058162,130320.018494125,127999.115423362,118348.236109331
4,"WSdep4",117990.99534477,127046.028262607,129772.283126464,121914.726205277
5,"WSdep4",117250.439846881,123467.361858145,129527.614583885,125236.957171143
6,"WSdep4",118354.697555099,120606.027791541,127723.318695055,127468.395077614
7,"WSdep4",120653.403847105,119092.80015793,125143.003295907,128219.545045623
8,"WSdep4",123296.870304586,119075.986783463,122630.779798216,127571.475605955
9,"WSdep4",125507.797963905,120273.636735415,120849.762411998,125965.807419414
10,"WSdep4",126773.537542808,122131.653124245,120140.071086856,124017.149772487
