"Iteracao","Departamento","Semana1","Semana2","Semana3","Semana4"
1,"WSdep1",43956.2286412021,44515.6763691363,44526.2673254533,44619.2363255261
2,"WSdep1",44532.191893076,43934.9298507447,43837.1356354112,43835.8120573099
3,"WSdep1",45811.1053429078,46139.311433976,46119.4880707074,46033.3937475839
4,"WSdep1",45692.3775319198,46211.0750816371,46116.3839903547,47169.9146922115
5,"WSdep1",46596.253951613,46363.7015166713,46246.406268499,46147.3913514247
6,"WSdep1",49288.5275485582,51737.9203251039,54721.9014282244,59913.586320099
7,"WSdep1",45899.362016625,45787.0379856945,45739.8564545862,45720.4442660906
8,"WSdep1",68643.3512344916,97738.202673216,53562.6205779711,55607.8533836691
9,"WSdep1",47105.9596800144,47106.523748201,47106.5438093486,47106.5553057525
10,"WSdep1",57980.6189123919,63778.8005380613,72766.6251888696,87752.9312766542
1,"WSdep2",144680.103517588,140657.498486582,138372.909279715,134945.453442267
2,"WSdep2",148820.029246138,151586.538603047,147730.895052293,132255.539713293
3,"WSdep2",146183.091358142,146276.18076218,142206.885464165,137923.040791748
4,"WSdep2",134091.666283815,147271.430646844,147279.155898754,142678.983307287
5,"WSdep2",130784.026396252,145338.602436166,145077.092724886,144431.085213867
6,"WSdep2",139896.411773565,151884.108189604,154981.966274444,151754.792368392
7,"WSdep2",138771.982786808,150677.744555789,153001.601585933,152463.034751345
8,"WSdep2",148123.716308267,139256.766799027,148373.428392072,149284.181431467
9,"WSdep2",147908.373709557,136943.003418033,148093.837669002,149570.653209628
10,"WSdep2",150066.363030529,146150.843064444,150773.447980688,151591.941921219
1,"WSdep3",63368.3722696693,63298.1925276889,63413.0664632706,63672.4800541279
2,"WSdep3",56545.5580435336,56438.6034714061,57405.7285533163,56546.684800932
3,"WSdep3",62472.7092034169,62101.7871100496,61647.7760196088,62327.4080277726
4,"WSdep3",60276.6236492897,60640.6356966851,59594.0953898269,60267.9593075494
5,"WSdep3",64036.5027466699,63859.719854248,63712.2705831763,63506.4276856404
6,"WSdep3",58876.7117020233,60550.7320732503,63988.9080809134,65224.4757607569
7,"WSdep3",63305.1939077633,63339.1245476639,63292.6456896946,63333.8531464076
8,"WSdep3",62539.3239687617,62502.9746886215,62491.889446257,62491.8566463687
9,"WSdep3",63348.3348751394,63634.4682402566,63659.260837179,63612.0098505434
10,"WSdep3",63560.8121738779,63069.3335977692,62928.5525593337,63068.6840648909
1,"WSdep4",130884.527480171,176990.010893171,167759.729769892,183429.543033952
2,"WSdep4",121951.183838456,125389.810915159,125818.497518937,120009.496984031
3,"WSdep4",177393.146473973,166388.579952988,156034.361254618,148831.592279952
4,"WSdep4",118705.811036571,127245.482323264,128128.1279225,126386.201559828
5,"WSdep4",140940.296636723,150245.080711221,152373.997170189,153147.216638564
6,"WSdep4",132554.271748389,129814.925243963,130309.588300841,129901.041786519
7,"WSdep4",136660.005497329,130964.422085248,131627.798431287,134023.366091625
8,"WSdep4",137819.142003703,130363.967545283,131104.403345848,131660.207003519
9,"WSdep4",131981.22411317,132323.667427469,132359.625410885,132299.11111551
10,"WSdep4",139417.190160789,140597.666200866,140365.159449094,140497.558691471
