"Iteracao","Departamento","Semana1","Semana2","Semana3","Semana4"
1,"WSdep1",53877.252,48791.6514666667,48951.0231666667,50973.6436
2,"WSdep1",47374.7147753422,46624.6822436666,43696.0992185333,42601.7228311444
3,"WSdep1",42750.6235254438,41421.5507205164,38655.6276617926,41409.6170333333
4,"WSdep1",40250.9638174515,44297.4017093893,44660.4763901494,41232.1481712104
5,"WSdep1",43044.1852714655,51596.2351485203,44695.5838956687,42502.1936963293
6,"WSdep1",42940.0896706305,49140.774560846,44673.6687904301,42551.3972206321
7,"WSdep1",43870.0393834243,45041.1598778095,42052.0133312363,42655.395809675
8,"WSdep1",49413.6361189995,44594.3485210262,42317.8063289257,44307.1565237479
9,"WSdep1",44816.7760967963,41653.4965104828,46889.9569087802,47037.7191143473
10,"WSdep1",42836.9383047794,44394.18722289,44868.9977355095,42766.6617669581
1,"WSdep2",142351.4856,149509.158233333,147838.981933333,129458.624966667
2,"WSdep2",135178.562740682,145464.089747862,146168.352535278,132224.235948838
3,"WSdep2",132098.276578937,142655.308927942,144551.037264573,135808.943575269
4,"WSdep2",128388.396666311,136186.690772605,142341.729978184,141469.112232179
5,"WSdep2",132061.553250784,132655.730795158,134748.697896463,135313.407517384
6,"WSdep2",129594.411139971,125973.684236413,131342.690377955,131914.789253539
7,"WSdep2",125018.356552811,119619.552266595,126388.304066855,131481.720265319
8,"WSdep2",125979.52471094,118218.930382581,121658.793709834,131055.713837083
9,"WSdep2",129073.619312921,119302.789770832,116812.899798114,129244.258187778
10,"WSdep2",131187.099303015,124210.08231071,115884.453840491,125319.892304281
1,"WSdep3",64730.7255666667,63582.0336333333,63554.7206666667,62279.5716
2,"WSdep3",63476.4081393389,62869.2538416878,62552.5825524656,62890.9492411689
3,"WSdep3",61583.9484703643,61952.8983830558,64103.7980413454,63125.5749547332
4,"WSdep3",62540.4112576977,63724.8000336888,61825.4350217744,62371.0718641912
5,"WSdep3",64292.5036274957,62297.3619423852,62946.8524398238,63416.7014505698
6,"WSdep3",62441.7431529446,62977.4461857017,62394.7840634,62234.164601225
7,"WSdep3",62807.2462808994,62683.7170970153,62840.6739033302,62321.5750275428
8,"WSdep3",62349.2107503735,63035.2752506848,62626.8938843001,62617.5614086025
9,"WSdep3",62434.5606872857,62104.6902202904,62892.1299437371,63272.0873601787
10,"WSdep3",62555.9074358784,63235.6027426709,62124.2045743316,62985.7670293888
1,"WSdep4",128978.825166667,127164.750366667,121459.949433333,117505.528933333
2,"WSdep4",127599.677088858,131313.619938902,127565.534763102,123786.75097136
3,"WSdep4",123305.030935441,128191.144076658,129807.76072963,126956.956928754
4,"WSdep4",123058.575879399,124490.305273789,128275.671392095,129662.679814061
5,"WSdep4",125523.353700731,122729.92122906,125139.777667895,127006.351361204
6,"WSdep4",124902.106595472,121301.497986183,121024.602340591,125908.482532378
7,"WSdep4",125315.022109448,122081.535258442,120267.007273844,125945.291032852
8,"WSdep4",126666.85510082,122707.11988266,119753.935546916,125696.768176023
9,"WSdep4",127425.729969465,123922.847130534,121131.745601347,125562.618926523
10,"WSdep4",126651.089905597,123353.480022581,120813.330341919,125704.626146842
