"Iteracao","Departamento","Semana1","Semana2","Semana3","Semana4"
1,"WSdep1",47115.912070659,49493.7043613246,33373.656036518,94649.0969511178
2,"WSdep1",29743.3165243026,54967.9831565566,40842.009881424,146728.673508261
3,"WSdep1",96159.4874221291,28356.6314442456,14802.0958611116,107726.34382417
4,"WSdep1",170900.266411178,-2754.20359150485,33016.9947348634,56038.5867810871
5,"WSdep1",164697.567335395,47546.9532974059,66987.0348474183,-32202.2463978279
6,"WSdep1",71212.5852263205,67408.1525539021,37434.7792962533,-91351.6865510312
7,"WSdep1",17980.5636336683,32633.0042284742,77675.7691770426,-42567.3000076552
8,"WSdep1",-17290.9827800359,27352.2795212216,104362.892310282,42140.4625269101
9,"WSdep1",-20875.8135457647,5898.69510507496,97797.1811566343,91876.4771476867
10,"WSdep1",46582.2008396212,-17395.7270363035,57670.9607494796,120900.549165747
1,"WSdep2",119765.189051145,146624.476484231,153495.761646884,143942.38436199
2,"WSdep2",108370.138974782,146655.71615984,166870.992799468,157878.281667712
3,"WSdep2",118991.988219479,131904.181697034,169467.812864687,195579.883694013
4,"WSdep2",146480.590787523,76770.5550985881,196079.68041906,215525.0963862
5,"WSdep2",203754.356603494,88546.5558100739,185035.174792419,173010.436875303
6,"WSdep2",182922.965882988,112067.182524104,134312.510622789,127090.491480437
7,"WSdep2",178246.135537733,114876.253277894,113945.731360709,97126.5500530851
8,"WSdep2",159389.270010387,103987.345572791,109499.560926821,103944.254113054
9,"WSdep2",131540.071972781,118115.964657334,125411.36907347,101148.898312762
10,"WSdep2",116835.158720766,120269.48011574,125234.077230089,103882.122446424
1,"WSdep3",58368.161212535,63676.6825483532,65804.3580476001,58551.8117741951
2,"WSdep3",57940.4521156534,63140.7608048942,64684.6450804652,58778.7891230462
3,"WSdep3",37874.2641743595,55619.1776211598,57572.7859134254,62008.6792296859
4,"WSdep3",63393.9293119915,33475.8529831098,66209.0272539538,77375.7093155901
5,"WSdep3",58701.1692663477,56163.6153159641,56998.6252297271,60622.0589694088
6,"WSdep3",57364.4879910896,54064.8591960033,64789.6753920003,57431.0760100621
7,"WSdep3",63318.3085015504,51341.0753763324,55409.6617471396,66350.5254952581
8,"WSdep3",61941.6576868392,56013.6445230292,58685.4424327607,57915.7242436435
9,"WSdep3",62800.5507780741,57595.9749237825,62279.4394512015,58768.3244690999
10,"WSdep3",58897.2209258018,54296.5094767671,50192.1134467464,60044.0977822282
1,"WSdep4",98708.6514838635,110610.826657428,111047.422252201,108440.790140344
2,"WSdep4",98767.1145299033,112228.37709168,113625.628846294,112129.294316014
3,"WSdep4",107402.387273282,116149.71210885,116623.574797026,139027.490178739
4,"WSdep4",106856.023157206,97443.8757868466,160719.726148638,139123.756507335
5,"WSdep4",129934.379505244,87317.5294065071,142682.531284739,132282.751737818
6,"WSdep4",130469.320591686,114952.082233856,121787.035490905,130382.229896683
7,"WSdep4",140447.169793473,112428.221057189,118509.17872259,122263.553999063
8,"WSdep4",133105.347488186,107946.64098381,115287.17992611,119131.571400324
9,"WSdep4",125496.230426758,117295.890949717,114004.78220524,107514.725839111
10,"WSdep4",120795.834548249,117446.540208024,109478.371194172,105286.376417079
